Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Clark,Dan,N,1979,1979,D,73,195,November,3,1957,Canada
Zetterstrom,Lars,N,1979,1979,D,73,198,November,6,1953,Sweden
Hudson,Lex,N,1979,1979,D,75,184,December,31,1955,Canada
Hanson,Dave,N,1979,1980,D,73,190,April,12,1954,USA
Beaton,Frank,N,1979,1980,F,70,200,April,28,1953,Canada
Bennett,Bill,N,1979,1980,F,77,235,May,31,1953,USA
McTavish,Gord,N,1979,1980,F,76,200,June,3,1954,Canada
Laurence,Don,N,1979,1980,F,69,175,June,27,1957,Canada
Svensson,Leif,N,1979,1980,D,75,190,July,8,1951,Sweden
Hordy,Mike,N,1979,1980,D,70,180,October,10,1956,Canada
Tremblay,Brent,N,1979,1980,D,74,192,November,1,1957,Canada
Carroll,Greg,N,1979,1980,F,73,185,November,10,1956,Canada
Lamby,Dick,N,1979,1981,D,73,200,May,3,1955,USA
Preston,Yves,N,1979,1981,F,71,180,June,14,1956,Canada
Edberg,Rolf,N,1979,1981,F,70,174,September,29,1950,Sweden
Boutin,Rollie,N,1979,1981,G,69,179,November,6,1957,Canada
Songin,Tom,N,1979,1981,F,75,195,December,20,1953,USA
Labatte,Neil,N,1979,1982,F,74,178,April,24,1957,Canada
Labraaten,Dan,N,1979,1982,F,73,190,June,9,1951,Sweden
Dwyer,Mike,N,1979,1982,F,71,172,September,16,1957,Canada
Mulvey,Paul,N,1979,1982,F,76,220,September,27,1958,Canada
Nicolson,Graeme,N,1979,1983,D,73,185,January,13,1958,Canada
Lecuyer,Doug,N,1979,1983,F,69,180,March,10,1958,Canada
McDougal,Mike,N,1979,1983,F,74,200,April,30,1958,USA
Evans,Paul,N,1979,1983,F,69,185,May,2,1954,Canada
Moore,Robbie,N,1979,1983,G,65,155,May,3,1954,Canada
Nilsson,Ulf,N,1979,1983,F,71,175,May,11,1950,Sweden
Turner,Dean,N,1979,1983,D,74,215,June,22,1958,USA
Tudor,Rob,N,1979,1983,F,71,188,June,30,1956,Canada
Connor,Cam,N,1979,1983,F,74,200,August,10,1954,Canada
Malinowski,Merlin,N,1979,1983,F,73,190,September,27,1958,Canada
Marini,Hector,N,1979,1984,F,73,204,January,27,1957,Canada
Gorence,Tom,N,1979,1984,F,73,190,March,11,1957,USA
Bolduc,Danny,N,1979,1984,F,69,180,April,6,1953,USA
Lessard,Mario,N,1979,1984,G,69,190,June,25,1954,Canada
Lindgren,Lars,N,1979,1984,D,73,200,October,12,1952,Sweden
Saganiuk,Rocky,N,1979,1984,F,68,185,October,15,1957,Canada
Gillis,Mike,N,1979,1984,F,73,195,December,1,1958,Canada
Dore,Andre,N,1979,1985,D,74,200,February,11,1958,Canada
Hedberg,Anders,N,1979,1985,F,71,175,February,25,1951,Sweden
Eaves,Mike,N,1979,1985,F,70,180,June,10,1956,USA
Rissling,Gary,N,1979,1985,F,69,175,August,8,1956,Canada
Zuke,Mike,N,1979,1986,F,73,180,April,16,1954,Canada
Davis,Mal,N,1979,1986,F,71,180,October,10,1956,Canada
Gradin,Thomas,N,1979,1987,F,71,176,February,18,1956,Sweden
Smith,Brad,N,1979,1987,F,73,195,April,13,1958,Canada
Babych,Wayne,N,1979,1987,F,71,191,June,6,1958,Canada
Carlson,Jack,N,1979,1987,F,75,205,August,23,1954,USA
Derlago,Bill,N,1979,1987,F,70,194,August,25,1958,Canada
Lumley,Dave,N,1979,1987,F,73,185,September,1,1954,Canada
Huber,Willie,N,1979,1988,D,77,228,January,15,1958,Germany
Tambellini,Steve,N,1979,1988,F,73,190,May,14,1958,Canada
Payne,Steve,N,1979,1988,F,74,210,August,16,1958,Canada
Wilson,Behn,N,1979,1988,D,75,210,December,19,1958,Canada
Napier,Mark,N,1979,1989,F,70,182,January,28,1957,Canada
Cochrane,Glen,N,1979,1989,D,74,205,January,29,1958,Canada
Higgins,Tim,N,1979,1989,F,73,185,February,7,1958,Canada
Peterson,Brent,N,1979,1989,F,73,190,February,15,1958,Canada
Bothwell,Tim,N,1979,1989,D,75,190,May,6,1955,Canada
Fraser,Curt,N,1979,1990,F,73,200,January,12,1958,USA
Secord,Al,N,1979,1990,F,73,205,March,3,1958,Canada
Playfair,Larry,N,1979,1990,D,76,205,June,23,1958,Canada
Smyl,Stan,N,1979,1991,F,68,185,January,28,1958,Canada
McKegney,Tony,N,1979,1991,F,73,200,February,15,1958,Canada
Peeters,Pete,N,1979,1991,G,73,195,August,17,1957,Canada
Maloney,Don,N,1979,1991,F,73,190,September,5,1958,Canada
Quenneville,Joel,N,1979,1991,D,73,200,September,15,1958,Canada
