FishID,Length,Weight
4831,67,3.392
4084,56,1.841
3929,77,4.737
13419,59,2.402
4149,58,2.092
3171,72,4.532
4417,63,2.721
3164,72,4.114
4159,51,1.343
4560,55,1.708
59,84,6.208
4158,68,3.179
4421,58,2.001
4066,74,4.511
4114,62,2.642
3657,70,3.808
4378,83,6.347
1198,74,3.97
4515,65,2.868
4406,66,3.465
3818,75,4.888
1332,71,3.66
1216,56,1.8
4600,68,3.786
4242,60,2.555
166,80,5.135
3667,71,3.825
3180,70,4.322
3777,99,11.363
4401,61,2.636
3962,65,3.843
4180,55,1.85
13421,73,4.44
1209,65,2.96
4845,63,2.851
3695,64,2.724
4274,57,1.985
4330,73,4.465
4190,88,7.252
4427,58,2.123
4459,65,3.264
13163,81,6.008
1293,74,4.39
3455,85,6.341
4950,69,3.61
3897,82,5.936
4944,76,4.289
3866,70,3.722
4439,65,3.363
155,77,5.266
3908,64,3.043
4009,73,4.54
3914,82,6.246
1384,75,4.39
4131,73,4.714
4474,83,5.417
3486,91,9.046
4276,70,3.844
4204,60,2.582
3811,79,5.517
3319,101,11.749
202,64,2.948
4200,60,2.725
3221,64,2.809
3213,65,3.296
4593,60,2.368
32,73,4.101
3904,70,3.783
1262,62,2.62
4797,68,3.296
3178,71,4.276
100,75,4.841
4095,70,4.094
4270,60,2.337
4943,69,3.031
4562,79,5.518
135,74,4.23
102,80,5.922
150,71,3.714
1202,82,6.19
4460,62,2.847
4178,54,1.766
4189,49,1.234
4550,73,4.25
3802,70,3.74
3200,65,3.223
74,76,4.844
3762,60,2.25
4850,63,2.75
4074,70,3.121
40,62,2.542
195,76,4.532
4134,68,3.695
3239,64,2.923
3419,55,1.883
1272,82,5.74
4957,63,3.271
1182,79,5.09
4996,68,3.361
93,69,4.156
3323,59,2.154
4962,74,4.284
4083,65,2.897
13171,80,5.227
3761,59,2.332
4433,66,3.462
13173,71,3.754
4228,63,2.623
1312,70,3.31
3746,71,3.798
4986,55,1.866
4536,54,1.706
1352,73,4.01
4988,66,2.884
4317,71,4.319
1192,81,5.67
1158,80,4.54
13401,62,2.697
3354,71,3.831
3604,71,4.175
3300,81,5.569
4277,65,3.221
4589,72,4.705
4399,61,2.608
4237,57,1.792
13343,64,2.732
3299,59,2.291
4016,65,3.568
1367,75,4.57
4230,50,1.284
3995,74,4.409
3344,102,14.274
3651,78,5.369
3185,57,2.147
3955,70,3.853
4799,59,2.36
4571,54,1.791
4221,64,2.734
1344,69,3.6
4586,83,6.805
4194,53,1.66
4052,79,4.164
4809,76,4.978
3971,80,5.36
3843,64,2.873
21,76,4.655
1149,66,3.29
3951,71,4.309
3431,82,6.319
3485,96,10.351
4990,65,2.886
3602,63,2.919
4830,68,3.099
13157,80,5.188
1355,64,2.87
3452,85,6.758
4456,70,3.863
3693,93,9.226
4136,63,2.866
3447,60,2.485
3274,60,2.571
3932,71,4.174
3961,70,4.275
4157,61,2.624
3585,81,5.86
4116,59,2.355
1222,54,1.77
3224,65,3.02
64,67,3.517
4289,75,4.952
