"location","date","hour","minute","level","time"
1612404,20110602,16,24,0.34,1.68333333333333
1612404,20110602,16,30,0.33,1.6875
1612404,20110602,16,36,0.31,1.69166666666667
1612404,20110602,16,42,0.3,1.69583333333333
1612404,20110602,16,48,0.28,1.7
1612404,20110602,16,54,0.26,1.70416666666667
1612404,20110602,17,0,0.24,1.70833333333333
1612404,20110602,17,6,0.23,1.7125
1612404,20110602,17,12,0.21,1.71666666666667
1612404,20110602,17,18,0.19,1.72083333333333
1612404,20110602,17,24,0.17,1.725
1612404,20110602,17,30,0.16,1.72916666666667
1612404,20110602,17,36,0.14,1.73333333333333
1612404,20110602,17,42,0.12,1.7375
1612404,20110602,17,48,0.11,1.74166666666667
1612404,20110602,17,54,0.09,1.74583333333333
1612404,20110602,18,0,0.08,1.75
1612404,20110602,18,6,0.06,1.75416666666667
1612404,20110602,18,12,0.05,1.75833333333333
1612404,20110602,18,18,0.04,1.7625
1612404,20110602,18,24,0.03,1.76666666666667
1612404,20110602,18,30,0.01,1.77083333333333
1612404,20110602,18,36,0,1.775
1612404,20110602,18,42,-0.01,1.77916666666667
1612404,20110602,18,48,-0.02,1.78333333333333
1612404,20110602,18,54,-0.02,1.7875
1612404,20110602,19,0,-0.03,1.79166666666667
1612404,20110602,19,6,-0.04,1.79583333333333
1612404,20110602,19,12,-0.04,1.8
1612404,20110602,19,18,-0.05,1.80416666666667
1612404,20110602,19,24,-0.05,1.80833333333333
1612404,20110602,19,30,-0.05,1.8125
1612404,20110602,19,36,-0.05,1.81666666666667
1612404,20110602,19,42,-0.05,1.82083333333333
1612404,20110602,19,48,-0.05,1.825
1612404,20110602,19,54,-0.04,1.82916666666667
1612404,20110602,20,0,-0.04,1.83333333333333
1612404,20110602,20,6,-0.03,1.8375
1612404,20110602,20,12,-0.02,1.84166666666667
1612404,20110602,20,18,-0.01,1.84583333333333
1612404,20110602,20,24,0.01,1.85
1612404,20110602,20,30,0.02,1.85416666666667
1612404,20110602,20,36,0.04,1.85833333333333
1612404,20110602,20,42,0.06,1.8625
1612404,20110602,20,48,0.08,1.86666666666667
1612404,20110602,20,54,0.1,1.87083333333333
1612404,20110602,21,0,0.13,1.875
1612404,20110602,21,6,0.15,1.87916666666667
1612404,20110602,21,12,0.18,1.88333333333333
1612404,20110602,21,18,0.21,1.8875
1612404,20110602,21,24,0.25,1.89166666666667
1612404,20110602,21,30,0.28,1.89583333333333
1612404,20110602,21,36,0.32,1.9
1612404,20110602,21,42,0.35,1.90416666666667
1612404,20110602,21,48,0.39,1.90833333333333
1612404,20110602,21,54,0.43,1.9125
1612404,20110602,22,0,0.48,1.91666666666667
1612404,20110602,22,6,0.52,1.92083333333333
1612404,20110602,22,12,0.56,1.925
1612404,20110602,22,18,0.6,1.92916666666667
1612404,20110602,22,24,0.65,1.93333333333333
1612404,20110602,22,30,0.7,1.9375
1612404,20110602,22,36,0.74,1.94166666666667
1612404,20110602,22,42,0.79,1.94583333333333
1612404,20110602,22,48,0.84,1.95
1612404,20110602,22,54,0.89,1.95416666666667
1612404,20110602,23,0,0.94,1.95833333333333
1612404,20110602,23,6,0.98,1.9625
1612404,20110602,23,12,1.03,1.96666666666667
1612404,20110602,23,18,1.08,1.97083333333333
1612404,20110602,23,24,1.13,1.975
1612404,20110602,23,30,1.18,1.97916666666667
1612404,20110602,23,36,1.23,1.98333333333333
1612404,20110602,23,42,1.28,1.9875
1612404,20110602,23,48,1.33,1.99166666666667
1612404,20110602,23,54,1.37,1.99583333333333
1612404,20110603,0,0,1.42,2
1612404,20110603,0,6,1.47,2.00416666666667
1612404,20110603,0,12,1.52,2.00833333333333
1612404,20110603,0,18,1.56,2.0125
1612404,20110603,0,24,1.6,2.01666666666667
1612404,20110603,0,30,1.65,2.02083333333333
1612404,20110603,0,36,1.69,2.025
1612404,20110603,0,42,1.73,2.02916666666667
1612404,20110603,0,48,1.77,2.03333333333333
1612404,20110603,0,54,1.81,2.0375
1612404,20110603,1,0,1.85,2.04166666666667
1612404,20110603,1,6,1.89,2.04583333333333
1612404,20110603,1,12,1.92,2.05
1612404,20110603,1,18,1.95,2.05416666666667
1612404,20110603,1,24,1.98,2.05833333333333
1612404,20110603,1,30,2.01,2.0625
1612404,20110603,1,36,2.04,2.06666666666667
1612404,20110603,1,42,2.07,2.07083333333333
1612404,20110603,1,48,2.09,2.075
1612404,20110603,1,54,2.12,2.07916666666667
1612404,20110603,2,0,2.14,2.08333333333333
1612404,20110603,2,6,2.16,2.0875
1612404,20110603,2,12,2.17,2.09166666666667
1612404,20110603,2,18,2.19,2.09583333333333
1612404,20110603,2,24,2.2,2.1
1612404,20110603,2,30,2.21,2.10416666666667
1612404,20110603,2,36,2.22,2.10833333333333
1612404,20110603,2,42,2.23,2.1125
1612404,20110603,2,48,2.23,2.11666666666667
1612404,20110603,2,54,2.24,2.12083333333333
1612404,20110603,3,0,2.24,2.125
1612404,20110603,3,6,2.24,2.12916666666667
1612404,20110603,3,12,2.23,2.13333333333333
1612404,20110603,3,18,2.23,2.1375
1612404,20110603,3,24,2.22,2.14166666666667
1612404,20110603,3,30,2.22,2.14583333333333
1612404,20110603,3,36,2.2,2.15
1612404,20110603,3,42,2.19,2.15416666666667
1612404,20110603,3,48,2.18,2.15833333333333
1612404,20110603,3,54,2.17,2.1625
1612404,20110603,4,0,2.15,2.16666666666667
1612404,20110603,4,6,2.13,2.17083333333333
1612404,20110603,4,12,2.11,2.175
1612404,20110603,4,18,2.08,2.17916666666667
1612404,20110603,4,24,2.06,2.18333333333333
1612404,20110603,4,30,2.03,2.1875
1612404,20110603,4,36,2,2.19166666666667
1612404,20110603,4,42,1.98,2.19583333333333
1612404,20110603,4,48,1.95,2.2
1612404,20110603,4,54,1.91,2.20416666666667
1612404,20110603,5,0,1.88,2.20833333333333
1612404,20110603,5,6,1.84,2.2125
1612404,20110603,5,12,1.81,2.21666666666667
1612404,20110603,5,18,1.77,2.22083333333333
1612404,20110603,5,24,1.73,2.225
1612404,20110603,5,30,1.69,2.22916666666667
1612404,20110603,5,36,1.65,2.23333333333333
1612404,20110603,5,42,1.61,2.2375
1612404,20110603,5,48,1.57,2.24166666666667
1612404,20110603,5,54,1.53,2.24583333333333
1612404,20110603,6,0,1.48,2.25
1612404,20110603,6,6,1.44,2.25416666666667
1612404,20110603,6,12,1.39,2.25833333333333
1612404,20110603,6,18,1.35,2.2625
1612404,20110603,6,24,1.31,2.26666666666667
1612404,20110603,6,30,1.26,2.27083333333333
1612404,20110603,6,36,1.21,2.275
1612404,20110603,6,42,1.17,2.27916666666667
1612404,20110603,6,48,1.12,2.28333333333333
1612404,20110603,6,54,1.08,2.2875
1612404,20110603,7,0,1.03,2.29166666666667
1612404,20110603,7,6,0.99,2.29583333333333
1612404,20110603,7,12,0.94,2.3
1612404,20110603,7,18,0.9,2.30416666666667
1612404,20110603,7,24,0.85,2.30833333333333
1612404,20110603,7,30,0.81,2.3125
1612404,20110603,7,36,0.77,2.31666666666667
1612404,20110603,7,42,0.73,2.32083333333333
1612404,20110603,7,48,0.68,2.325
1612404,20110603,7,54,0.64,2.32916666666667
1612404,20110603,8,0,0.6,2.33333333333333
1612404,20110603,8,6,0.56,2.3375
1612404,20110603,8,12,0.52,2.34166666666667
1612404,20110603,8,18,0.49,2.34583333333333
1612404,20110603,8,24,0.45,2.35
1612404,20110603,8,30,0.42,2.35416666666667
1612404,20110603,8,36,0.39,2.35833333333333
1612404,20110603,8,42,0.36,2.3625
1612404,20110603,8,48,0.33,2.36666666666667
1612404,20110603,8,54,0.3,2.37083333333333
1612404,20110603,9,0,0.28,2.375
1612404,20110603,9,6,0.25,2.37916666666667
1612404,20110603,9,12,0.23,2.38333333333333
1612404,20110603,9,18,0.21,2.3875
1612404,20110603,9,24,0.19,2.39166666666667
1612404,20110603,9,30,0.17,2.39583333333333
1612404,20110603,9,36,0.16,2.4
1612404,20110603,9,42,0.15,2.40416666666667
1612404,20110603,9,48,0.14,2.40833333333333
1612404,20110603,9,54,0.13,2.4125
1612404,20110603,10,0,0.12,2.41666666666667
1612404,20110603,10,6,0.11,2.42083333333333
1612404,20110603,10,12,0.11,2.425
1612404,20110603,10,18,0.1,2.42916666666667
1612404,20110603,10,24,0.1,2.43333333333333
1612404,20110603,10,30,0.1,2.4375
1612404,20110603,10,36,0.1,2.44166666666667
1612404,20110603,10,42,0.11,2.44583333333333
1612404,20110603,10,48,0.11,2.45
1612404,20110603,10,54,0.11,2.45416666666667
1612404,20110603,11,0,0.12,2.45833333333333
1612404,20110603,11,6,0.13,2.4625
1612404,20110603,11,12,0.13,2.46666666666667
1612404,20110603,11,18,0.14,2.47083333333333
1612404,20110603,11,24,0.15,2.475
1612404,20110603,11,30,0.16,2.47916666666667
1612404,20110603,11,36,0.17,2.48333333333333
1612404,20110603,11,42,0.18,2.4875
1612404,20110603,11,48,0.19,2.49166666666667
1612404,20110603,11,54,0.2,2.49583333333333
1612404,20110603,12,0,0.22,2.5
1612404,20110603,12,6,0.23,2.50416666666667
1612404,20110603,12,12,0.24,2.50833333333333
1612404,20110603,12,18,0.25,2.5125
1612404,20110603,12,24,0.27,2.51666666666667
1612404,20110603,12,30,0.28,2.52083333333333
1612404,20110603,12,36,0.29,2.525
1612404,20110603,12,42,0.31,2.52916666666667
