"grad4","grad6","cohort","name","control","endow","medSAT","fulltime","fulltimefac","pell"
30.2,48.8,43,"University of Massachusetts at Dartmouth","Public",4130,1059,88.2,40,30
40.5,67.1,79,"Suffolk University","Private not-for-profit",2523,1021,92.5,40,26
88.3,92.8,111,"Tufts University","Private not-for-profit",128721,1418,98.6,67,6
90.8,94.3,174,"Wellesley College","Private not-for-profit",536173,1363,95.4,78,11
40.4,61.7,47,"Wentworth Institute of Technology","Private not-for-profit",16107,1087,88.3,50,25
14.3,19,21,"Western New England University","Private not-for-profit",10686,1078,91.6,63,19
77.3,86.4,22,"Wheaton College (Mass.)","Private not-for-profit",82549,NA,99.7,83,17
90.2,98,51,"Williams College","Private not-for-profit",680488,1420,98.4,90,14
63,73.9,46,"Worcester Polytechnic Institute","Private not-for-profit",91251,NA,95.1,83,9
16,40,25,"Worcester State College","Public",1943,1010,75.1,17,15
30.3,54.5,33,"Andrews University","Private not-for-profit",10858,1026,88.3,82,48
48,68,25,"Calvin College","Private not-for-profit",22575,1189,96.7,88,24
25,50,56,"Central Michigan University","Public",2837,1030,88.9,48,40
15.8,55.3,38,"Eastern Michigan University","Public",2466,1008,70.9,35,66
8.3,58.3,24,"Kettering University","Private not-for-profit",23160,1212,98.5,93,13
29.9,59.8,117,"Grand Valley State University","Public",2743,1110,87.6,54,36
69.6,87,23,"Hope College","Private not-for-profit",39698,1201,96.9,76,19
74.9,91.2,680,"University of Michigan at Ann Arbor","Public",139163,1311,96.9,84,2
50.9,79.7,375,"Michigan State University","Public",30459,1165,91.6,92,18
18.6,48.6,70,"University of Michigan at Dearborn","Public",3815,1090,69,39,64
19.7,49.2,61,"Oakland University","Public",2984,1050,74.3,26,19
20.1,54.3,164,"Wayne State University","Public",9405,970,65.1,24,80
18.2,54.5,66,"Western Michigan University","Public",7789,1050,86.7,46,45
93.9,98,49,"Carleton College","Private not-for-profit",288943,1391,98.8,91,5
65.5,75.9,29,"Gustavus Adolphus College","Private not-for-profit",39331,1220,98.9,90,16
50,64.7,34,"Hamline University","Private not-for-profit",13325,1085,94.5,36,42
76.6,83,47,"Macalester College","Private not-for-profit",270114,1348,97.7,78,7
19.6,51,51,"Minnesota State University at Mankato","Public",2404,1030,87.8,55,27
37.4,61.6,596,"University of Minnesota-Twin Cities","Public",43988,1244,86.8,72,13
18.3,49.3,71,"University of Minnesota at Duluth","Public",5478,1110,89,76,12
18,44.3,61,"St. Cloud State University","Public",1059,1010,73.5,62,21
78.9,86.8,38,"St. Olaf College","Private not-for-profit",90575,1291,98.4,76,9
56.9,69,58,"University of Saint Thomas (Minn.)","Private not-for-profit",29519,1171,94.9,47,15
31.6,57.9,38,"St. Catherine University","Private not-for-profit",11025,1050,67.2,95,60
